reading_id,sensor_id,date_id,temperature,humidity,anomaly_flag,data_quality_score,ingestion_time
15035,1,20251001,33.64,50.07,Normal,100,2025-10-27 04:30:00.557
15036,1,20251001,29.01,42.72,Normal,100,2025-10-27 04:30:00.557
15037,2,20251001,24.65,53.78,Normal,100,2025-10-27 04:30:00.557
15038,4,20251001,24.51,45.19,Normal,100,2025-10-27 04:30:00.557
15039,5,20251001,32.16,32.82,Normal,100,2025-10-27 04:30:00.557
15040,2,20251001,34.45,53.34,Normal,100,2025-10-27 04:30:00.557
15041,1,20251001,29.15,33.17,Normal,100,2025-10-27 04:30:00.557
15042,3,20251001,26.91,30.33,Normal,100,2025-10-27 04:30:00.557
15043,1,20251001,27.19,33.6,Normal,100,2025-10-27 04:30:00.557
15044,1,20251001,30.14,57.97,Normal,100,2025-10-27 04:30:00.557
15045,5,20251001,20.8,43.79,Normal,100,2025-10-27 04:30:00.557
15046,5,20251001,29.47,31.69,Normal,100,2025-10-27 04:30:00.557
15047,2,20251001,28.37,54.43,Normal,100,2025-10-27 04:30:00.557
15048,1,20251001,25.85,47.71,Normal,100,2025-10-27 04:30:00.557
15049,3,20251001,27.44,36.56,Normal,100,2025-10-27 04:30:00.557
15050,4,20251001,22.04,34.37,Normal,100,2025-10-27 04:30:00.557
15051,2,20251001,25.21,59.81,Normal,100,2025-10-27 04:30:00.557
15052,5,20251001,20.6,55.28,Normal,100,2025-10-27 04:30:00.557
15053,1,20251001,28.37,38.82,Normal,100,2025-10-27 04:30:00.557
15054,3,20251001,28.58,30.05,Normal,100,2025-10-27 04:30:00.557
15055,5,20251001,31.78,37.37,Normal,100,2025-10-27 04:30:00.557
15056,3,20251001,31.27,49.42,Normal,100,2025-10-27 04:30:00.557
15057,3,20251001,21.96,58.31,Normal,100,2025-10-27 04:30:00.557
15058,2,20251001,24.33,56.95,Normal,100,2025-10-27 04:30:00.557
15059,1,20251001,27.87,32.32,Normal,100,2025-10-27 04:30:00.557
15060,3,20251001,20.99,58.12,Normal,100,2025-10-27 04:30:00.557
15061,3,20251001,28.72,40.08,Normal,100,2025-10-27 04:30:00.557
15062,2,20251001,25.75,40.43,Normal,100,2025-10-27 04:30:00.557
15063,5,20251001,20.45,48.22,Normal,100,2025-10-27 04:30:00.557
15064,5,20251001,25.76,34.93,Normal,100,2025-10-27 04:30:00.557
15065,2,20251001,34.23,43.65,Normal,100,2025-10-27 04:30:00.557
15066,2,20251001,20.24,31.28,Normal,100,2025-10-27 04:30:00.557
15067,5,20251001,32.25,48.51,Normal,100,2025-10-27 04:30:00.557
15068,3,20251001,27.93,35.36,Normal,100,2025-10-27 04:30:00.557
15069,4,20251001,32.18,55.13,Normal,100,2025-10-27 04:30:00.557
15070,4,20251001,24.81,30.72,Normal,100,2025-10-27 04:30:00.557
15071,1,20251001,23.51,59.21,Normal,100,2025-10-27 04:30:00.557
15072,3,20251001,32.52,40.22,Normal,100,2025-10-27 04:30:00.557
15073,1,20251001,20.51,39.71,Normal,100,2025-10-27 04:30:00.557
15074,4,20251001,20.64,49.31,Normal,100,2025-10-27 04:30:00.557
15075,2,20251001,28.06,35.78,Normal,100,2025-10-27 04:30:00.557
15076,4,20251001,20.14,51.91,Normal,100,2025-10-27 04:30:00.557
15077,4,20251001,24.06,40.79,Normal,100,2025-10-27 04:30:00.557
15078,1,20251001,33.83,44.63,Normal,100,2025-10-27 04:30:00.557
15079,1,20251001,23.36,30.8,Normal,100,2025-10-27 04:30:00.557
15080,1,20251001,29.96,31.7,Normal,100,2025-10-27 04:30:00.557
15081,1,20251001,33.68,34.08,Normal,100,2025-10-27 04:30:00.557
15082,3,20251001,27.77,55.51,Normal,100,2025-10-27 04:30:00.557
15083,2,20251001,34.84,46.67,Normal,100,2025-10-27 04:30:00.557
15084,5,20251001,25.11,49.75,Normal,100,2025-10-27 04:30:00.557
15085,5,20251001,20.69,39.0,Normal,100,2025-10-27 04:30:00.557
15086,3,20251001,26.74,40.59,Normal,100,2025-10-27 04:30:00.557
15087,3,20251001,27.03,53.33,Normal,100,2025-10-27 04:30:00.557
15088,3,20251001,33.26,46.12,Normal,100,2025-10-27 04:30:00.557
15089,2,20251001,29.99,52.86,Normal,100,2025-10-27 04:30:00.557
15090,2,20251001,31.85,36.33,Normal,100,2025-10-27 04:30:00.557
15091,2,20251001,33.97,49.09,Normal,100,2025-10-27 04:30:00.557
15092,2,20251001,28.81,58.41,Normal,100,2025-10-27 04:30:00.557
15093,4,20251001,33.63,54.1,Normal,100,2025-10-27 04:30:00.557
15094,3,20251001,26.94,55.24,Normal,100,2025-10-27 04:30:00.557
15095,4,20251001,31.49,44.97,Normal,100,2025-10-27 04:30:00.557
15096,2,20251001,31.57,51.0,Normal,100,2025-10-27 04:30:00.557
15097,1,20251001,32.15,44.86,Normal,100,2025-10-27 04:30:00.557
15098,5,20251001,33.43,38.06,Normal,100,2025-10-27 04:30:00.557
15099,4,20251001,28.36,44.19,Normal,100,2025-10-27 04:30:00.557
15100,4,20251001,28.42,40.55,Normal,100,2025-10-27 04:30:00.557
15101,4,20251001,22.76,33.62,Normal,100,2025-10-27 04:30:00.557
15102,5,20251001,24.31,37.3,Normal,100,2025-10-27 04:30:00.557
15103,3,20251001,31.48,54.82,Normal,100,2025-10-27 04:30:00.557
15104,3,20251001,25.99,34.01,Normal,100,2025-10-27 04:30:00.557
15105,1,20251001,31.94,54.51,Normal,100,2025-10-27 04:30:00.557
15106,3,20251001,20.7,38.27,Normal,100,2025-10-27 04:30:00.557
15107,2,20251001,27.2,57.78,Normal,100,2025-10-27 04:30:00.557
15108,3,20251001,26.44,38.81,Normal,100,2025-10-27 04:30:00.557
15109,2,20251001,21.04,33.36,Normal,100,2025-10-27 04:30:00.557
15110,3,20251001,20.96,37.3,Normal,100,2025-10-27 04:30:00.557
15111,1,20251001,27.39,40.68,Normal,100,2025-10-27 04:30:00.557
15112,3,20251001,30.05,40.32,Normal,100,2025-10-27 04:30:00.557
15113,1,20251001,29.08,44.79,Normal,100,2025-10-27 04:30:00.557
15114,5,20251001,21.62,53.18,Normal,100,2025-10-27 04:30:00.557
15115,5,20251001,34.0,58.59,Normal,100,2025-10-27 04:30:00.557
15116,5,20251001,33.38,30.03,Normal,100,2025-10-27 04:30:00.557
15117,1,20251001,22.78,44.51,Normal,100,2025-10-27 04:30:00.557
15118,5,20251001,26.26,36.84,Normal,100,2025-10-27 04:30:00.557
15119,3,20251001,31.86,47.86,Normal,100,2025-10-27 04:30:00.557
15120,1,20251001,31.18,58.76,Normal,100,2025-10-27 04:30:00.557
15121,5,20251001,34.03,46.07,Normal,100,2025-10-27 04:30:00.557
15122,3,20251001,34.05,33.03,Normal,100,2025-10-27 04:30:00.557
15123,3,20251001,22.69,58.92,Normal,100,2025-10-27 04:30:00.557
15124,4,20251001,20.95,57.17,Normal,100,2025-10-27 04:30:00.557
15125,2,20251001,24.47,57.84,Normal,100,2025-10-27 04:30:00.557
15126,1,20251001,29.35,39.1,Normal,100,2025-10-27 04:30:00.557
15127,4,20251001,30.11,43.24,Normal,100,2025-10-27 04:30:00.557
15128,5,20251001,32.45,47.93,Normal,100,2025-10-27 04:30:00.557
15129,4,20251001,22.68,52.52,Normal,100,2025-10-27 04:30:00.557
15130,3,20251001,33.28,32.25,Normal,100,2025-10-27 04:30:00.557
15131,5,20251001,31.61,48.42,Normal,100,2025-10-27 04:30:00.557
15132,2,20251001,31.75,36.77,Normal,100,2025-10-27 04:30:00.557
15133,2,20251001,30.21,52.62,Normal,100,2025-10-27 04:30:00.557
15134,5,20251001,21.29,51.8,Normal,100,2025-10-27 04:30:00.557
15135,3,20251001,30.92,58.66,Normal,100,2025-10-27 04:30:00.557
15136,4,20251001,25.88,39.42,Normal,100,2025-10-27 04:30:00.557
15137,3,20251001,24.78,41.8,Normal,100,2025-10-27 04:30:00.557
15138,2,20251001,24.89,51.08,Normal,100,2025-10-27 04:30:00.557
15139,3,20251001,21.37,49.43,Normal,100,2025-10-27 04:30:00.557
15140,4,20251001,24.0,52.21,Normal,100,2025-10-27 04:30:00.557
15141,3,20251001,22.96,59.6,Normal,100,2025-10-27 04:30:00.557
15142,5,20251001,32.76,35.09,Normal,100,2025-10-27 04:30:00.557
15143,1,20251001,20.16,51.16,Normal,100,2025-10-27 04:30:00.557
15144,5,20251001,21.45,35.44,Normal,100,2025-10-27 04:30:00.557
15145,5,20251001,33.79,41.34,Normal,100,2025-10-27 04:30:00.557
15146,2,20251001,28.55,47.49,Normal,100,2025-10-27 04:30:00.557
15147,5,20251001,33.19,57.23,Normal,100,2025-10-27 04:30:00.557
15148,2,20251001,28.13,53.16,Normal,100,2025-10-27 04:30:00.557
15149,3,20251001,30.8,54.91,Normal,100,2025-10-27 04:30:00.557
15150,2,20251001,33.52,58.49,Normal,100,2025-10-27 04:30:00.557
15151,5,20251001,26.61,45.96,Normal,100,2025-10-27 04:30:00.557
15152,2,20251001,32.42,57.95,Normal,100,2025-10-27 04:30:00.557
15153,1,20251001,33.12,35.38,Normal,100,2025-10-27 04:30:00.557
15154,2,20251001,22.0,52.85,Normal,100,2025-10-27 04:30:00.557
15155,3,20251001,26.62,49.91,Normal,100,2025-10-27 04:30:00.557
15156,3,20251001,23.6,49.88,Normal,100,2025-10-27 04:30:00.557
15157,3,20251001,23.21,49.41,Normal,100,2025-10-27 04:30:00.557
15158,1,20251001,26.79,48.38,Normal,100,2025-10-27 04:30:00.557
15159,1,20251001,27.05,50.48,Normal,100,2025-10-27 04:30:00.557
15160,2,20251001,20.46,36.53,Normal,100,2025-10-27 04:30:00.557
15161,2,20251001,25.79,36.07,Normal,100,2025-10-27 04:30:00.557
15162,2,20251001,24.13,53.98,Normal,100,2025-10-27 04:30:00.557
15163,3,20251001,23.28,47.49,Normal,100,2025-10-27 04:30:00.557
15164,1,20251001,24.2,38.04,Normal,100,2025-10-27 04:30:00.557
15165,2,20251001,34.37,57.44,Normal,100,2025-10-27 04:30:00.557
15166,4,20251001,22.55,41.96,Normal,100,2025-10-27 04:30:00.557
15167,4,20251001,34.71,54.62,Normal,100,2025-10-27 04:30:00.557
15168,3,20251001,31.08,40.69,Normal,100,2025-10-27 04:30:00.557
15169,5,20251001,22.1,35.76,Normal,100,2025-10-27 04:30:00.557
15170,2,20251001,24.59,30.15,Normal,100,2025-10-27 04:30:00.557
15171,4,20251001,28.0,36.42,Normal,100,2025-10-27 04:30:00.557
15172,4,20251001,21.51,57.76,Normal,100,2025-10-27 04:30:00.557
15173,2,20251001,22.38,33.14,Normal,100,2025-10-27 04:30:00.557
15174,1,20251001,23.35,55.82,Normal,100,2025-10-27 04:30:00.557
15175,5,20251001,23.62,59.02,Normal,100,2025-10-27 04:30:00.557
15176,5,20251001,23.53,31.29,Normal,100,2025-10-27 04:30:00.557
15177,5,20251001,25.98,37.27,Normal,100,2025-10-27 04:30:00.557
15178,2,20251001,33.06,37.77,Normal,100,2025-10-27 04:30:00.557
15179,5,20251001,28.17,49.58,Normal,100,2025-10-27 04:30:00.557
15180,5,20251001,33.39,56.89,Normal,100,2025-10-27 04:30:00.557
15181,3,20251001,31.15,45.01,Normal,100,2025-10-27 04:30:00.557
15182,1,20251001,21.95,50.82,Normal,100,2025-10-27 04:30:00.557
15183,3,20251001,27.31,38.1,Normal,100,2025-10-27 04:30:00.557
15184,1,20251001,34.26,40.7,Normal,100,2025-10-27 04:30:00.557
15185,1,20251001,27.87,30.54,Normal,100,2025-10-27 04:30:00.557
15186,2,20251001,23.99,55.29,Normal,100,2025-10-27 04:30:00.557
15187,2,20251001,28.72,50.5,Normal,100,2025-10-27 04:30:00.557
15188,1,20251001,25.46,38.95,Normal,100,2025-10-27 04:30:00.557
15189,1,20251001,21.46,49.57,Normal,100,2025-10-27 04:30:00.557
15190,3,20251001,26.04,49.7,Normal,100,2025-10-27 04:30:00.557
15191,5,20251001,27.59,41.36,Normal,100,2025-10-27 04:30:00.557
15192,3,20251001,25.53,34.16,Normal,100,2025-10-27 04:30:00.557
15193,5,20251001,30.58,41.06,Normal,100,2025-10-27 04:30:00.557
15194,1,20251001,25.14,30.36,Normal,100,2025-10-27 04:30:00.557
15195,1,20251001,21.27,49.81,Normal,100,2025-10-27 04:30:00.557
15196,2,20251001,23.33,49.91,Normal,100,2025-10-27 04:30:00.557
15197,5,20251001,26.65,34.5,Normal,100,2025-10-27 04:30:00.557
15198,4,20251001,25.58,42.53,Normal,100,2025-10-27 04:30:00.557
15199,5,20251001,29.48,52.81,Normal,100,2025-10-27 04:30:00.557
15200,1,20251001,31.38,47.33,Normal,100,2025-10-27 04:30:00.557
15201,3,20251001,29.15,40.51,Normal,100,2025-10-27 04:30:00.557
15202,5,20251001,22.03,38.59,Normal,100,2025-10-27 04:30:00.557
15203,1,20251001,23.45,51.1,Normal,100,2025-10-27 04:30:00.557
15204,4,20251001,26.75,34.04,Normal,100,2025-10-27 04:30:00.557
15205,4,20251001,26.49,45.83,Normal,100,2025-10-27 04:30:00.557
15206,3,20251001,33.93,50.2,Normal,100,2025-10-27 04:30:00.557
15207,2,20251001,26.08,54.57,Normal,100,2025-10-27 04:30:00.557
15208,1,20251001,24.39,32.36,Normal,100,2025-10-27 04:30:00.557
15209,2,20251001,22.61,37.17,Normal,100,2025-10-27 04:30:00.557
15210,4,20251001,29.79,49.87,Normal,100,2025-10-27 04:30:00.557
15211,5,20251001,34.3,38.59,Normal,100,2025-10-27 04:30:00.557
15212,2,20251001,24.14,52.96,Normal,100,2025-10-27 04:30:00.557
15213,2,20251001,34.27,34.32,Normal,100,2025-10-27 04:30:00.557
15214,2,20251001,27.0,33.48,Normal,100,2025-10-27 04:30:00.557
15215,3,20251001,31.56,43.37,Normal,100,2025-10-27 04:30:00.557
15216,2,20251001,33.45,52.93,Normal,100,2025-10-27 04:30:00.557
15217,3,20251001,25.01,36.06,Normal,100,2025-10-27 04:30:00.557
15218,2,20251001,29.64,34.21,Normal,100,2025-10-27 04:30:00.557
15219,5,20251001,25.1,31.27,Normal,100,2025-10-27 04:30:00.557
15220,4,20251001,28.87,52.97,Normal,100,2025-10-27 04:30:00.557
15221,5,20251001,24.28,36.74,Normal,100,2025-10-27 04:30:00.557
15222,4,20251001,28.13,43.77,Normal,100,2025-10-27 04:30:00.557
15223,2,20251001,21.15,55.99,Normal,100,2025-10-27 04:30:00.557
15224,2,20251001,29.47,46.65,Normal,100,2025-10-27 04:30:00.557
15225,2,20251001,24.09,57.75,Normal,100,2025-10-27 04:30:00.557
15226,2,20251001,29.4,57.39,Normal,100,2025-10-27 04:30:00.557
15227,1,20251001,30.63,43.59,Normal,100,2025-10-27 04:30:00.557
15228,1,20251001,33.94,59.23,Normal,100,2025-10-27 04:30:00.557
15229,2,20251001,24.02,33.38,Normal,100,2025-10-27 04:30:00.557
15230,2,20251001,32.07,33.72,Normal,100,2025-10-27 04:30:00.557
15231,4,20251001,29.32,42.93,Normal,100,2025-10-27 04:30:00.557
15232,5,20251001,32.05,53.42,Normal,100,2025-10-27 04:30:00.557
15233,1,20251001,33.61,40.47,Normal,100,2025-10-27 04:30:00.557
15234,2,20251001,21.94,30.72,Normal,100,2025-10-27 04:30:00.557
15235,3,20251001,30.43,43.38,Normal,100,2025-10-27 04:30:00.557
15236,1,20251001,30.22,38.67,Normal,100,2025-10-27 04:30:00.557
15237,2,20251001,21.74,46.48,Normal,100,2025-10-27 04:30:00.557
15238,5,20251001,28.75,32.25,Normal,100,2025-10-27 04:30:00.557
15239,3,20251001,20.03,31.76,Normal,100,2025-10-27 04:30:00.557
15240,3,20251001,30.14,30.86,Normal,100,2025-10-27 04:30:00.557
15241,3,20251001,21.06,38.82,Normal,100,2025-10-27 04:30:00.557
15242,2,20251001,22.78,51.18,Normal,100,2025-10-27 04:30:00.557
15243,1,20251001,28.36,43.29,Normal,100,2025-10-27 04:30:00.557
15244,1,20251001,25.32,40.58,Normal,100,2025-10-27 04:30:00.557
15245,4,20251001,34.7,52.26,Normal,100,2025-10-27 04:30:00.557
15246,2,20251001,30.54,59.78,Normal,100,2025-10-27 04:30:00.557
15247,1,20251001,23.44,52.13,Normal,100,2025-10-27 04:30:00.557
15248,5,20251001,24.4,57.05,Normal,100,2025-10-27 04:30:00.557
15249,2,20251001,25.36,58.99,Normal,100,2025-10-27 04:30:00.557
15250,4,20251001,34.71,58.91,Normal,100,2025-10-27 04:30:00.557
15251,5,20251001,21.17,49.9,Normal,100,2025-10-27 04:30:00.557
15252,3,20251001,22.97,30.42,Normal,100,2025-10-27 04:30:00.557
15253,3,20251001,29.78,50.73,Normal,100,2025-10-27 04:30:00.557
15254,5,20251001,34.45,40.0,Normal,100,2025-10-27 04:30:00.557
15255,5,20251001,24.22,41.9,Normal,100,2025-10-27 04:30:00.557
15256,2,20251001,24.83,52.89,Normal,100,2025-10-27 04:30:00.557
15257,1,20251001,32.59,40.51,Normal,100,2025-10-27 04:30:00.557
15258,5,20251001,27.42,51.68,Normal,100,2025-10-27 04:30:00.557
15259,3,20251001,30.46,49.99,Normal,100,2025-10-27 04:30:00.557
15260,1,20251001,34.36,41.57,Normal,100,2025-10-27 04:30:00.557
15261,4,20251001,24.65,36.8,Normal,100,2025-10-27 04:30:00.557
15262,2,20251001,34.12,32.37,Normal,100,2025-10-27 04:30:00.557
15263,4,20251001,20.37,58.48,Normal,100,2025-10-27 04:30:00.557
15264,2,20251001,27.05,44.2,Normal,100,2025-10-27 04:30:00.557
15265,4,20251001,27.56,47.38,Normal,100,2025-10-27 04:30:00.557
15266,1,20251001,28.72,59.32,Normal,100,2025-10-27 04:30:00.557
15267,2,20251001,30.46,58.54,Normal,100,2025-10-27 04:30:00.557
15268,3,20251001,27.33,41.5,Normal,100,2025-10-27 04:30:00.557
15269,4,20251001,28.93,35.7,Normal,100,2025-10-27 04:30:00.557
15270,3,20251001,30.32,59.05,Normal,100,2025-10-27 04:30:00.557
15271,5,20251001,29.88,36.98,Normal,100,2025-10-27 04:30:00.557
15272,3,20251001,32.1,36.01,Normal,100,2025-10-27 04:30:00.557
15273,3,20251001,34.42,43.71,Normal,100,2025-10-27 04:30:00.557
15274,4,20251001,28.58,30.78,Normal,100,2025-10-27 04:30:00.557
15275,2,20251001,31.93,30.91,Normal,100,2025-10-27 04:30:00.557
15276,2,20251001,27.58,35.48,Normal,100,2025-10-27 04:30:00.557
15277,5,20251001,27.25,54.64,Normal,100,2025-10-27 04:30:00.557
15278,2,20251001,23.79,39.9,Normal,100,2025-10-27 04:30:00.557
15279,4,20251001,28.0,30.56,Normal,100,2025-10-27 04:30:00.557
15280,1,20251001,24.49,50.32,Normal,100,2025-10-27 04:30:00.557
15281,1,20251001,23.82,42.81,Normal,100,2025-10-27 04:30:00.557
15282,4,20251001,20.99,53.5,Normal,100,2025-10-27 04:30:00.557
15283,4,20251001,29.84,48.34,Normal,100,2025-10-27 04:30:00.557
15284,3,20251001,22.86,34.36,Normal,100,2025-10-27 04:30:00.557
15285,4,20251001,25.22,54.92,Normal,100,2025-10-27 04:30:00.557
15286,3,20251001,21.74,50.86,Normal,100,2025-10-27 04:30:00.557
15287,4,20251001,30.0,58.09,Normal,100,2025-10-27 04:30:00.557
15288,1,20251001,21.46,33.41,Normal,100,2025-10-27 04:30:00.557
15289,3,20251001,30.48,59.54,Normal,100,2025-10-27 04:30:00.557
15290,4,20251001,31.85,35.25,Normal,100,2025-10-27 04:30:00.557
15291,3,20251001,21.68,33.74,Normal,100,2025-10-27 04:30:00.557
15292,1,20251001,32.93,40.98,Normal,100,2025-10-27 04:30:00.557
15293,2,20251001,34.03,58.53,Normal,100,2025-10-27 04:30:00.557
15294,1,20251001,28.92,57.62,Normal,100,2025-10-27 04:30:00.557
15295,2,20251001,25.7,49.64,Normal,100,2025-10-27 04:30:00.557
15296,5,20251001,31.09,51.36,Normal,100,2025-10-27 04:30:00.557
15297,3,20251001,34.39,39.97,Normal,100,2025-10-27 04:30:00.557
15298,1,20251001,29.23,55.85,Normal,100,2025-10-27 04:30:00.557
15299,3,20251001,29.65,51.16,Normal,100,2025-10-27 04:30:00.557
15300,2,20251001,34.9,45.47,Normal,100,2025-10-27 04:30:00.557
15301,1,20251001,26.98,49.48,Normal,100,2025-10-27 04:30:00.557
15302,1,20251001,30.05,36.57,Normal,100,2025-10-27 04:30:00.557
15303,4,20251001,23.64,36.74,Normal,100,2025-10-27 04:30:00.557
15304,4,20251001,30.1,40.07,Normal,100,2025-10-27 04:30:00.557
15305,1,20251001,22.12,42.3,Normal,100,2025-10-27 04:30:00.557
15306,2,20251001,24.7,34.93,Normal,100,2025-10-27 04:30:00.557
15307,3,20251001,20.83,38.61,Normal,100,2025-10-27 04:30:00.557
15308,2,20251001,23.18,48.54,Normal,100,2025-10-27 04:30:00.557
15309,1,20251001,32.25,50.46,Normal,100,2025-10-27 04:30:00.557
15310,4,20251001,27.98,39.85,Normal,100,2025-10-27 04:30:00.557
15311,1,20251001,25.5,39.17,Normal,100,2025-10-27 04:30:00.557
15312,2,20251001,28.35,49.26,Normal,100,2025-10-27 04:30:00.557
15313,1,20251001,24.15,41.34,Normal,100,2025-10-27 04:30:00.557
15314,2,20251001,24.21,58.85,Normal,100,2025-10-27 04:30:00.557
15315,2,20251001,24.46,41.87,Normal,100,2025-10-27 04:30:00.557
15316,3,20251001,32.66,36.43,Normal,100,2025-10-27 04:30:00.557
15317,2,20251001,32.1,58.01,Normal,100,2025-10-27 04:30:00.557
15318,4,20251001,20.48,38.21,Normal,100,2025-10-27 04:30:00.557
15319,3,20251001,27.41,48.94,Normal,100,2025-10-27 04:30:00.557
15320,2,20251001,24.41,39.6,Normal,100,2025-10-27 04:30:00.557
15321,1,20251001,34.04,36.39,Normal,100,2025-10-27 04:30:00.557
15322,5,20251001,26.23,53.68,Normal,100,2025-10-27 04:30:00.557
15323,4,20251001,20.06,54.74,Normal,100,2025-10-27 04:30:00.557
15324,2,20251001,27.64,53.95,Normal,100,2025-10-27 04:30:00.557
15325,1,20251001,27.78,44.01,Normal,100,2025-10-27 04:30:00.557
15326,4,20251001,26.33,40.38,Normal,100,2025-10-27 04:30:00.557
15327,3,20251001,24.09,41.8,Normal,100,2025-10-27 04:30:00.557
15328,2,20251001,21.68,49.99,Normal,100,2025-10-27 04:30:00.557
15329,4,20251001,22.3,57.98,Normal,100,2025-10-27 04:30:00.557
15330,2,20251001,34.73,34.66,Normal,100,2025-10-27 04:30:00.557
15331,1,20251001,21.48,32.29,Normal,100,2025-10-27 04:30:00.557
15332,4,20251001,31.36,40.17,Normal,100,2025-10-27 04:30:00.557
15333,1,20251001,27.79,57.93,Normal,100,2025-10-27 04:30:00.557
15334,4,20251001,21.82,48.28,Normal,100,2025-10-27 04:30:00.557
15335,1,20251001,28.54,44.37,Normal,100,2025-10-27 04:30:00.557
15336,1,20251001,24.82,32.96,Normal,100,2025-10-27 04:30:00.557
15337,3,20251001,32.53,34.31,Normal,100,2025-10-27 04:30:00.557
15338,5,20251001,33.86,39.62,Normal,100,2025-10-27 04:30:00.557
15339,4,20251001,27.8,35.78,Normal,100,2025-10-27 04:30:00.557
15340,3,20251001,29.75,52.83,Normal,100,2025-10-27 04:30:00.557
15341,2,20251001,20.51,34.31,Normal,100,2025-10-27 04:30:00.557
15342,5,20251001,23.78,35.3,Normal,100,2025-10-27 04:30:00.557
15343,1,20251001,24.02,45.29,Normal,100,2025-10-27 04:30:00.557
15344,3,20251001,29.53,46.78,Normal,100,2025-10-27 04:30:00.557
15345,5,20251001,23.28,31.68,Normal,100,2025-10-27 04:30:00.557
15346,1,20251001,23.55,45.74,Normal,100,2025-10-27 04:30:00.557
15347,4,20251001,33.76,33.99,Normal,100,2025-10-27 04:30:00.557
15348,4,20251001,27.27,54.1,Normal,100,2025-10-27 04:30:00.557
15349,2,20251001,32.51,50.56,Normal,100,2025-10-27 04:30:00.557
15350,3,20251001,32.61,39.23,Normal,100,2025-10-27 04:30:00.557
15351,5,20251001,20.47,49.89,Normal,100,2025-10-27 04:30:00.557
15352,2,20251001,22.77,53.94,Normal,100,2025-10-27 04:30:00.557
15353,5,20251001,27.19,56.05,Normal,100,2025-10-27 04:30:00.557
15354,1,20251001,31.99,47.86,Normal,100,2025-10-27 04:30:00.557
15355,4,20251001,25.89,39.37,Normal,100,2025-10-27 04:30:00.557
15356,4,20251001,29.71,53.56,Normal,100,2025-10-27 04:30:00.557
15357,1,20251001,25.06,35.97,Normal,100,2025-10-27 04:30:00.557
15358,2,20251001,22.28,47.08,Normal,100,2025-10-27 04:30:00.557
15359,5,20251001,30.48,35.63,Normal,100,2025-10-27 04:30:00.557
15360,4,20251001,33.86,45.53,Normal,100,2025-10-27 04:30:00.557
15361,3,20251001,21.47,46.55,Normal,100,2025-10-27 04:30:00.557
15362,1,20251001,34.6,50.57,Normal,100,2025-10-27 04:30:00.557
15363,2,20251001,21.42,46.47,Normal,100,2025-10-27 04:30:00.557
15364,2,20251001,24.5,34.2,Normal,100,2025-10-27 04:30:00.557
15365,3,20251001,24.91,48.2,Normal,100,2025-10-27 04:30:00.557
15366,4,20251001,26.03,33.24,Normal,100,2025-10-27 04:30:00.557
